0,AVP,T,Q10,SE,pvalue,significance,num
1,11,11,1.5745979974750188,0.014235344941061268,0.0,***,2174
2,11,13,1.5204403547901961,0.007621238993861024,0.0,***,3671
3,11,15,1.46521208513296,0.007344406140175508,0.0,***,3417
4,11,17,1.4276075482638448,0.007155912614710935,0.0,***,2598
5,11,19,1.397940385222467,0.008412855639702288,0.0,***,1796
6,11,21,1.36615469302948,0.008221568198081286,0.0,***,1136
7,11,23,1.3244536039352575,0.011973884090214604,0.0,***,634
8,11,25,1.3099644507332473,0.021128004519044508,0.0,***,312
9,11,27,1.3021281963008942,0.027633831820579546,0.0,***,150
10,11,29,1.2312131695488677,0.04640814365601886,0.0,***,64
11,11,9,1.6803464627827445,0.06333733423699361,0.0,***,152
12,13,11,1.4462876036747396,0.09867545527659871,0.001,**,7
13,13,13,1.5250085246832794,0.013787025273585662,0.0,***,1364
14,13,15,1.4784585134131472,0.007410804138242577,0.0,***,3140
15,13,17,1.4333294145603401,0.0057447995977062405,0.0,***,3074
16,13,19,1.4007390637385353,0.007021233775567293,0.0,***,2273
17,13,21,1.3675215310276052,0.008229793878434144,0.0,***,1503
18,13,23,1.3525612267094822,0.013593466319997694,0.0,***,830
19,13,25,1.3125870013111083,0.014518160506048927,0.0,***,397
20,13,27,1.2904616208728898,0.018193520173576783,0.0,***,189
21,13,29,1.2523227161918644,0.025298597013022173,0.0,***,81
22,15,15,1.456447133771086,0.01610935750204945,0.0,***,932
23,15,17,1.4347634608785558,0.00719178177596036,0.0,***,2488
24,15,19,1.4077602975141026,0.007056427856326097,0.0,***,2449
25,15,21,1.3743762612275612,0.008271045891918405,0.0,***,1684
26,15,23,1.347161787879554,0.01082051866833833,0.0,***,949
27,15,25,1.3297620281214737,0.014708128710579027,0.0,***,482
28,15,27,1.3139002448247392,0.01719221042755259,0.0,***,222
29,15,29,1.3257787199867919,0.025430621551223664,0.0,***,82
30,17,17,1.4433979191151778,0.014506390256048052,0.0,***,677
31,17,19,1.4035433452127262,0.00844657445493291,0.0,***,1866
32,17,21,1.3743762612275612,0.008271045891918405,0.0,***,1686
33,17,23,1.3675215310276052,0.008229793878434144,0.0,***,1045
34,17,25,1.3404427904316814,0.012118436277800848,0.0,***,557
35,17,27,1.2995265424293818,0.017004132438239727,0.0,***,218
36,17,29,1.2398618969660617,0.02504687176682996,0.0,***,104
37,19,19,1.4063532408621693,0.014134085050026002,0.0,***,647
38,19,21,1.3702593109569967,0.009625465000249855,0.0,***,1321
39,19,23,1.3485096234729106,0.009472683074981836,0.0,***,983
40,19,25,1.3257787199867919,0.0106487680386802,0.0,***,512
41,19,27,1.3086551410464666,0.01845002077069058,0.0,***,227
42,19,29,1.2995265424293818,0.03556518609912662,0.0,***,75
43,21,19,1.36615469302948,0.08302838035716475,0.0,***,10
44,21,21,1.3579823065478924,0.013647949078150257,0.0,***,538
45,21,23,1.3417839036669714,0.010777323042510778,0.0,***,811
46,21,25,1.336427488025472,0.012082135447438525,0.0,***,512
47,21,27,1.3073471400149361,0.01843157997185596,0.0,***,229
48,21,29,1.2776213132048866,0.03627893161985263,0.0,***,83
49,23,21,1.4049475905635938,0.0442354828230509,0.0,***,51
50,23,23,1.3377645839500352,0.016149880492253077,0.0,***,423
51,23,25,1.3231298123374369,0.015973205301856863,0.0,***,555
52,23,27,1.3310924552522916,0.01472284419580605,0.0,***,317
53,23,29,1.3826473071194796,0.022300283444114166,0.0,***,115
54,5,11,1.540335115161127,0.013925587181178756,0.0,***,1320
55,5,13,1.4903336186074025,0.01497810187815718,0.0,***,989
56,5,15,1.4681454416819895,0.017723875869400274,0.0,***,722
57,5,17,1.4105786355076784,0.019886984972219635,0.0,***,454
58,5,19,1.4162322497400235,0.024281758409193666,0.0,***,249
59,5,21,1.4219085237185773,0.024379079956162286,0.0,***,129
60,5,23,1.3840306459807514,0.02372965153335116,0.0,***,88
61,5,25,1.3404427904316814,0.03255978149377747,0.0,***,47
62,5,27,1.362062370503422,0.03587801471904495,0.0,***,33
63,5,29,1.2373846512436006,0.02499682808366077,0.0,***,13
64,5,5,1.7280610506585812,0.013879934115494263,0.0,***,2378
65,5,7,1.6702945698405354,0.013415948802282696,0.0,***,2104
66,5,9,1.5952014034170006,0.01281279406878233,0.0,***,1748
67,7,11,1.571451948577649,0.009457054483770877,0.0,***,2603
68,7,13,1.5053117204855597,0.010574148385009252,0.0,***,1989
69,7,15,1.4593629428757966,0.011721727938946547,0.0,***,1461
70,7,17,1.4077602975141026,0.012727028398092699,0.0,***,1019
71,7,19,1.3881889722894125,0.015354372923313653,0.0,***,639
72,7,21,1.38126535090563,0.01947371283290522,0.0,***,417
73,7,23,1.3350917285285084,0.024249239543472134,0.0,***,260
74,7,25,1.3284329307527947,0.028192072253429457,0.0,***,156
75,7,27,1.2930451267593537,0.03273359322743841,0.0,***,80
76,7,29,1.2776213132048866,0.029725826810049538,0.0,***,43
77,7,5,1.7860384307500734,0.017949984647783523,0.0,***,2486
78,7,7,1.6938431492486188,0.011898498202956187,0.0,***,3208
79,7,9,1.6290548499725743,0.009803710821184142,0.0,***,3157
80,9,11,1.577750344766478,0.007908506514069158,0.0,***,3795
81,9,13,1.5128571268843944,0.007583227905801682,0.0,***,3311
82,9,15,1.4725564912731355,0.007381220129152988,0.0,***,2608
83,9,17,1.4333294145603401,0.008625828094176002,0.0,***,1836
84,9,19,1.3909681284637803,0.012575216748945905,0.0,***,1231
85,9,21,1.3702593109569967,0.01515605791578789,0.0,***,771
86,9,23,1.3231298123374369,0.022685487110660763,0.0,***,446
87,9,25,1.2840254166877414,0.03118938555098305,0.0,***,235
88,9,27,1.3271051618171572,0.025456064892324992,0.0,***,118
89,9,29,1.2750686241184597,0.036206446266128234,0.0,***,51
90,9,7,1.69553783960182,0.027346796409067453,0.0,***,986
91,9,9,1.6355841192052398,0.011489254310105279,0.0,***,3190
