0,T,Q10,SE,pvalue,significance,num
1,11,1.603197383726574,0.009648099657048936,0.0,***,2545
2,13,1.5418762207006325,0.0077286867188763875,0.0,***,2717
3,15,1.4814183893292643,0.007425640578013315,0.0,***,2808
4,17,1.4462876036747396,0.005796736158035554,0.0,***,2707
5,19,1.411989919667659,0.005659270674327033,0.0,***,2466
6,21,1.3868014771803021,0.006951371332214462,0.0,***,1986
7,23,1.3525612267094822,0.0067797413624983704,0.0,***,1382
8,25,1.3310924552522916,0.008010562387002151,0.0,***,867
9,27,1.3218073438695392,0.010616869606136614,0.0,***,469
10,29,1.3204861972090953,0.01594129081637674,0.0,***,191
11,31,1.2398618969660617,0.028847295858849042,0.0,***,57
12,33,1.3244536039352575,0.1031539443285876,0.001,**,19
13,5,1.7967868744202726,0.018058008302563877,0.0,***,1712
14,7,1.7246083823764355,0.013852201988634238,0.0,***,1997
15,9,1.6603028076832325,0.0116628921528803,0.0,***,2254
