0,AVP,T,Q10,SE,pvalue,significance,num
1,11,11,1.633949352605565,0.13608685030791423,0.0,***,38
2,11,13,1.5511552873877141,0.04404611602928643,0.0,***,261
3,11,15,1.608014197485783,0.029206323903387288,0.0,***,653
4,11,17,1.5372575235482815,0.01855821688582604,0.0,***,1092
5,11,19,1.4696143214411443,0.013286227233608727,0.0,***,1510
6,11,21,1.4190675485932571,0.01426186596708301,0.0,***,1551
7,11,23,1.3675215310276052,0.01650911495314622,0.0,***,1150
8,11,25,1.38126535090563,0.018073673905300458,0.0,***,559
9,11,27,1.3165306748676215,0.041451631680271106,0.0,***,134
10,11,29,1.2349123550613943,0.06982270362553367,0.001,**,18
11,13,13,1.4063532408621693,0.361913810571566,0.181,,8
12,13,15,1.7006320906765497,0.06763496075718556,0.0,***,119
13,13,17,1.6015949876744064,0.04712628302572175,0.0,***,319
14,13,19,1.5651786956535216,0.03002270776347893,0.0,***,643
15,13,21,1.4608230357434318,0.019114675658856717,0.0,***,986
16,13,23,1.4063532408621693,0.015555282856408281,0.0,***,1000
17,13,25,1.3579823065478924,0.023283044357737648,0.0,***,610
18,13,27,1.3337573041233846,0.03924526780207427,0.0,***,199
19,13,29,1.2068335153496053,0.05807525338328645,0.0,***,36
20,15,15,1.3391030176392937,0.09279378393236493,0.05,*,3
21,15,17,1.6702945698405354,0.10861397646194315,0.0,***,37
22,15,19,1.7006320906765497,0.06057601984519323,0.0,***,170
23,15,21,1.5113450259339938,0.035163768815383634,0.0,***,419
24,15,23,1.4077602975141026,0.024136504057556074,0.0,***,643
25,15,25,1.3702593109569967,0.02628383261750855,0.0,***,577
26,15,27,1.2853100843311953,0.04711412914448054,0.0,***,266
27,15,29,1.1972173631218102,0.057612504818469024,0.0,***,48
28,17,19,1.5604901958326667,0.08329232288739452,0.0,***,31
29,17,21,1.6160744021928934,0.09650387599445409,0.0,***,123
30,17,23,1.4477346146633245,0.03220309673896393,0.0,***,291
31,17,25,1.3675215310276052,0.03742605953598854,0.0,***,392
32,17,27,1.2763443304894546,0.050760831327702594,0.0,***,253
33,17,29,1.2361478850785035,0.08433831213059184,0.002,**,61
34,17,31,1.1560395702680215,0.08506280873265015,0.099,.,6
35,19,21,1.6064069870274604,0.18320709504355026,0.0,***,23
36,19,23,1.5936069993484847,0.07668757049205066,0.0,***,91
37,19,25,1.4007390637385353,0.03689679550267422,0.0,***,186
38,19,27,1.3566250030062241,0.04131538221624287,0.0,***,175
39,19,29,1.3257787199867919,0.08762389583088526,0.0,***,63
40,19,31,1.2080409524829019,0.0837117754568022,0.019,*,11
41,21,21,0.9139311852712282,0.3434108537386109,0.805,,3
42,21,23,1.515885868870569,0.16614178082831743,0.001,***,22
43,21,25,1.4710846708147431,0.0738783881365952,0.0,***,67
44,21,27,1.4477346146633245,0.048572277000258124,0.0,***,94
45,21,29,1.4077602975141026,0.057451787618857386,0.0,***,50
46,21,31,1.2535756652781869,0.09898556143129533,0.016,*,10
47,23,23,1.2598592394492314,0.1408798242893039,0.164,,3
48,23,25,1.752424048424499,0.1440568308804524,0.0,***,14
49,23,27,1.5496049074195088,0.09746846609583626,0.0,***,32
50,23,29,1.4710846708147431,0.09096679571900079,0.0,***,27
51,23,31,1.3937528485125166,0.11155887197304315,0.001,***,14
52,3,11,1.6209299050120742,0.009754814609474582,0.0,***,5086
53,3,13,1.5651786956535216,0.007845490860653559,0.0,***,4569
54,3,15,1.5204403547901961,0.009150064873182595,0.0,***,3793
55,3,17,1.482900548674753,0.008924148966517276,0.0,***,2792
56,3,19,1.4333294145603401,0.010068504554837654,0.0,***,1816
57,3,21,1.3951472984698037,0.015431337037874693,0.0,***,910
58,3,23,1.397940385222467,0.029667163041378064,0.0,***,244
59,3,25,1.3350917285285084,0.06564733521002686,0.0,***,26
60,3,27,1.2386226547934522,0.10450370389282448,0.028,*,9
61,3,3,1.858928041846342,0.016805865331169567,0.0,***,3582
62,3,5,1.8076000026120045,0.01269758973390367,0.0,***,4449
63,3,7,1.768267051433735,0.010641494868743218,0.0,***,5091
64,3,9,1.69553783960182,0.010203807849755053,0.0,***,5333
65,5,11,1.6437825187200612,0.009892342462698878,0.0,***,4039
66,5,13,1.5856588512805472,0.009542552136453386,0.0,***,4093
67,5,15,1.5295904196633787,0.009205130293486352,0.0,***,3788
68,5,17,1.4769807938826427,0.00888852366874704,0.0,***,3178
69,5,19,1.4477346146633245,0.008712519107761496,0.0,***,2295
70,5,21,1.4247551864798884,0.011443755480463391,0.0,***,1372
71,5,23,1.3951472984698037,0.01966942690062501,0.0,***,510
72,5,25,1.336427488025472,0.037948773202089114,0.0,***,94
73,5,27,1.2485713778642835,0.10128742971171967,0.016,*,12
74,5,3,1.7647340515084595,0.030256934131440483,0.0,***,1064
75,5,5,1.7612081105217428,0.01948023407787014,0.0,***,1972
76,5,7,1.7332530178673953,0.015669684972954068,0.0,***,2972
77,5,9,1.6989323086185506,0.01193424729439041,0.0,***,3672
78,7,11,1.6569855204608508,0.01498017937526197,0.0,***,2253
79,7,13,1.6160744021928934,0.014610317428655373,0.0,***,2711
80,7,15,1.543418868116487,0.010841834225818747,0.0,***,2982
81,7,17,1.4918246976412703,0.010479408020680037,0.0,***,2933
82,7,19,1.4506329812931589,0.010190054450272878,0.0,***,2463
83,7,21,1.411989919667659,0.01134122376594271,0.0,***,1702
84,7,23,1.4007390637385353,0.01407766163189339,0.0,***,852
85,7,25,1.3702593109569967,0.030479752781538583,0.0,***,236
86,7,27,1.3310924552522916,0.052938190728459844,0.0,***,31
87,7,3,1.614459135558623,0.0895776228321048,0.0,***,47
88,7,5,1.8076000026120045,0.07188912634990596,0.0,***,250
89,7,7,1.7211626125301187,0.03301473644697284,0.0,***,757
