0,AVP,T,Q10,SE,pvalue,significance,num
1,11,13,1.571451948577649,0.012622036416832794,0.0,***,2119
2,11,15,1.5219615556186337,0.01069110610538515,0.0,***,2005
3,11,17,1.475504551333055,0.011851378718251704,0.0,***,1650
4,11,19,1.4247551864798884,0.014319027678157958,0.0,***,1306
5,11,21,1.38126535090563,0.01527779266887519,0.0,***,978
6,11,23,1.3909681284637803,0.015385112398389023,0.0,***,777
7,11,25,1.3579823065478924,0.016393954679668754,0.0,***,664
8,11,27,1.3566250030062241,0.017751258221337052,0.0,***,579
9,11,29,1.3231298123374369,0.02134034449461586,0.0,***,466
10,11,9,1.7419409847740754,0.12443766051239713,0.0,***,51
11,13,11,3.4590708066102507,2.3650030952097247,0.14,,3
12,13,13,1.5636142992864182,0.02045968570806367,0.0,***,726
13,13,15,1.5311207751332474,0.012298092983239695,0.0,***,1838
14,13,17,1.4799377114022885,0.010395907205114074,0.0,***,1889
15,13,19,1.4622845894342245,0.010271901838911024,0.0,***,1495
16,13,21,1.4247551864798884,0.011443755480463391,0.0,***,1141
17,13,23,1.397940385222467,0.01404953444519208,0.0,***,865
18,13,25,1.3675215310276052,0.015125776091874377,0.0,***,710
19,13,27,1.3350917285285084,0.017469498180973764,0.0,***,579
20,13,29,1.3060404463306543,0.02239248442214037,0.0,***,402
21,15,15,1.5667446571994514,0.022088685216628656,0.0,***,452
22,15,17,1.5128571268843944,0.012151397798884966,0.0,***,1383
23,15,19,1.475504551333055,0.01036476621833482,0.0,***,1453
24,15,21,1.444842038973879,0.010149375644322278,0.0,***,1192
25,15,23,1.4007390637385353,0.01407766163189339,0.0,***,906
26,15,25,1.3951472984698037,0.015431337037874693,0.0,***,681
27,15,27,1.3798847759572466,0.019454248853683964,0.0,***,499
28,15,29,1.3607009889371502,0.02610048824315192,0.0,***,322
29,17,17,1.5113450259339938,0.021307635790025037,0.0,***,339
30,17,19,1.444842038973879,0.013062270397346865,0.0,***,1040
31,17,21,1.4276075482638448,0.010028310977364674,0.0,***,1125
32,17,23,1.4247551864798884,0.0128806727613211,0.0,***,876
33,17,25,1.3951472984698037,0.018255317347873445,0.0,***,656
34,17,27,1.3993390248109305,0.021148301101264755,0.0,***,435
35,17,29,1.3923597923081943,0.023872457431829197,0.0,***,255
36,19,19,1.4477346146633245,0.021879706777819807,0.0,***,309
37,19,21,1.4134026158176771,0.014204932446167717,0.0,***,852
38,19,23,1.3965431435745053,0.014035491933173105,0.0,***,838
