0,T,Q10,SE,pvalue,significance,num
1,11,1.6887692344784637,0.011862856198086025,0.0,***,1707
2,13,1.6096230159584366,0.009686769343490553,0.0,***,1935
3,15,1.5372575235482815,0.009251271201095923,0.0,***,2079
4,17,1.4888440299072776,0.007462861756305061,0.0,***,2283
5,19,1.4549914146182013,0.007293174816023207,0.0,***,2319
6,21,1.411989919667659,0.007077628925598045,0.0,***,2189
7,23,1.3798847759572466,0.006916701223055544,0.0,***,2089
8,25,1.3444701568320527,0.006739184705962797,0.0,***,1928
9,27,1.3284329307527947,0.006658797775713765,0.0,***,1753
10,29,1.29822766543369,0.006507393253238014,0.0,***,1453
11,31,1.2611197288283293,0.007589463996581447,0.0,***,939
12,33,1.2165269053343162,0.013455666446436476,0.0,***,470
13,5,1.9040819949185803,0.024914660345710438,0.0,***,956
14,7,1.7967868744202726,0.018058008302563877,0.0,***,1187
15,9,1.7315206311872335,0.01565402312021269,0.0,***,1459
