0,AVP,T,Q10,SE,pvalue,significance,num
1,11,11,1.7647340515084595,0.2917546199051686,0.001,**,25
2,11,13,1.7541773489770915,0.13662261332613457,0.0,***,125
3,11,15,1.771807124429574,0.06862427435206331,0.0,***,321
4,11,17,1.7506725002961012,0.04611437412417163,0.0,***,523
5,11,19,1.5636142992864182,0.037980688387988515,0.0,***,728
6,11,21,1.5174025129350848,0.027560546016253573,0.0,***,749
7,11,23,1.4520843398327752,0.030816208841977888,0.0,***,571
8,11,25,1.417649190341986,0.038797943429099924,0.0,***,287
9,11,27,1.4148167253704287,0.07402730453684891,0.0,***,87
10,11,29,1.2349123550613943,0.052970921773236146,0.007,**,5
11,13,13,1.8964808793049515,0.43849135509292125,0.017,*,9
12,13,15,1.9542373206359396,0.17763368382735,0.0,***,69
13,13,17,1.8682459574322223,0.10958348065130408,0.0,***,224
14,13,19,1.7576892143698166,0.06260837797609153,0.0,***,435
15,13,21,1.5936069993484847,0.03707772027306433,0.0,***,593
16,13,23,1.4637476054097285,0.03405634154841031,0.0,***,580
17,13,25,1.397940385222467,0.03825855673788503,0.0,***,374
18,13,27,1.3310924552522916,0.061267337055902704,0.0,***,135
19,13,29,1.3881889722894125,0.06389536754336267,0.0,***,26
20,15,17,1.6372205213891702,0.3307444512185893,0.011,*,35
21,15,19,1.8330843770260485,0.12310815837497491,0.0,***,149
22,15,21,1.6421395578187052,0.06189720057202264,0.0,***,356
23,15,23,1.5449630589513383,0.040695792329208835,0.0,***,473
24,15,25,1.4233311434336018,0.03895344600062267,0.0,***,401
25,15,27,1.3965431435745053,0.056994006882347126,0.0,***,186
26,15,29,1.3324242134756759,0.05160643250507557,0.0,***,43
27,15,31,1.2008144080808307,0.04028797091984093,0.0,***,3
28,17,19,1.2814599321940212,0.29786895205541963,0.246,,29
29,17,21,1.7194423102121061,0.1209890885695315,0.0,***,156
30,17,23,1.6193097853019272,0.05935717091127812,0.0,***,334
31,17,25,1.475504551333055,0.04038131753751406,0.0,***,379
32,17,27,1.4134026158176771,0.04596032705811948,0.0,***,221
33,17,29,1.3702593109569967,0.06450414992155906,0.0,***,56
34,17,31,1.3702593109569967,0.14866136344524317,0.038,*,5
35,19,19,1.7860384307500734,0.3330796447321438,0.019,*,6
36,19,21,1.6503708166063191,0.32943744015973064,0.009,**,41
37,19,23,1.6569855204608508,0.10951414776033874,0.0,***,151
38,19,25,1.5098344363287448,0.05377986295767312,0.0,***,286
39,19,27,1.420487325912195,0.05059734490254808,0.0,***,238
40,19,29,1.28017911277827,0.058923904861023724,0.0,***,71
41,19,31,1.6989323086185506,0.16744633666792175,0.005,**,5
42,21,21,2.121238253470012,1.2322463990790116,0.175,,5
43,21,23,1.7506725002961012,0.20943633517035654,0.0,***,51
44,21,25,1.5113450259339938,0.08385637748300678,0.0,***,188
45,21,27,1.4549914146182013,0.06241109831688352,0.0,***,225
46,21,29,1.3798847759572466,0.06640282771749306,0.0,***,106
47,21,31,1.3702593109569967,0.10377047333114486,0.0,***,17
48,23,23,3.5183776905354134,2.405551835577288,0.046,*,8
49,23,25,1.69553783960182,0.1990475067482651,0.0,***,79
50,23,27,1.5465087947493774,0.08744055785618765,0.0,***,167
51,23,29,1.4769807938826427,0.07417449350507144,0.0,***,104
52,23,31,1.3178478640273033,0.13278511726585562,0.011,*,17
53,3,11,1.710866555912941,0.017194494745640165,0.0,***,1912
54,3,13,1.6586433347503051,0.016669642647282323,0.0,***,1751
55,3,15,1.6112334440542406,0.016193165324344783,0.0,***,1451
56,3,17,1.552707218511336,0.01717406358186646,0.0,***,1083
57,3,19,1.4725564912731355,0.02375040039044718,0.0,***,700
58,3,21,1.4769807938826427,0.028330926602917028,0.0,***,387
59,3,23,1.4506329812931589,0.04567391037042379,0.0,***,115
60,3,25,1.4318968015716587,0.08398906729891031,0.0,***,23
61,3,3,1.8607878996621081,0.0319038083186145,0.0,***,1175
62,3,5,1.8367542143941897,0.025895403871739164,0.0,***,1516
63,3,7,1.8330843770260485,0.022129524115352517,0.0,***,1777
64,3,9,1.7471746543074462,0.019325013913743527,0.0,***,1923
65,5,11,1.7228846360108874,0.024290018296558857,0.0,***,1451
66,5,13,1.6904588483790914,0.022119429808256097,0.0,***,1503
67,5,15,1.6225516456522613,0.021230873067799916,0.0,***,1401
68,5,17,1.5651786956535216,0.018895289340960186,0.0,***,1182
69,5,19,1.499302500056767,0.021137854733429107,0.0,***,843
70,5,21,1.4535371504568524,0.027881238872411895,0.0,***,541
71,5,23,1.4637476054097285,0.03555489464703854,0.0,***,244
72,5,25,1.4318968015716587,0.05545912847964796,0.0,***,57
73,5,27,1.5098344363287448,0.20103211958419598,0.021,*,6
74,5,3,1.78425328504094,0.0952358439209704,0.0,***,288
75,5,5,1.8367542143941897,0.05593749358653288,0.0,***,614
76,5,7,1.8076000026120045,0.03651594228512978,0.0,***,967
77,5,9,1.7629701995299278,0.026643882541082853,0.0,***,1261
78,7,11,1.710866555912941,0.03980594438316021,0.0,***,805
79,7,13,1.6652911949458864,0.031943030547115336,0.0,***,1053
80,7,15,1.6388585607937585,0.026432634152127932,0.0,***,1205
81,7,17,1.571451948577649,0.022155050770835683,0.0,***,1183
82,7,19,1.5418762207006325,0.020175245833111477,0.0,***,988
83,7,21,1.475504551333055,0.023797948723712103,0.0,***,681
84,7,23,1.4148167253704287,0.034366348016215964,0.0,***,371
85,7,25,1.46521208513296,0.04915865555908838,0.0,***,146
86,7,27,1.4007390637385353,0.0881049661687423,0.0,***,20
87,7,3,2.3048140482870125,0.4189097840187963,0.0,***,21
88,7,5,1.7006320906765497,0.13795979661534363,0.0,***,94
89,7,7,1.8021853286760772,0.09809230787914869,0.0,***,298
90,7,9,1.8094085067159598,0.05883745071626256,0.0,***,548
91,9,11,1.6769891283107623,0.08070008605905454,0.0,***,275
92,9,13,1.6702945698405354,0.054313812535900174,0.0,***,506
93,9,15,1.7160068621848585,0.038170486792233005,0.0,***,735
94,9,17,1.65367486118276,0.03172021011464876,0.0,***,914
95,9,19,1.5604901958326667,0.02358378916181514,0.0,***,985
96,9,21,1.4903336186074025,0.02555225026316643,0.0,***,771
97,9,23,1.4063532408621693,0.029845701098182742,0.0,***,499
98,9,25,1.4190675485932571,0.04468005681647136,0.0,***,207
99,9,27,1.4376358592412095,0.0950168024828093,0.0,***,50
100,9,29,1.151424647984744,0.017401555105124977,0.007,**,3
101,9,7,1.5573723343417794,0.19330016595432187,0.002,**,16
102,9,9,1.6652911949458864,0.1495536877769501,0.0,***,110
